,LICENSENO,LICSTATUS,LICCAT,LICCATDESC,Address_Complete,Location_Complete
202,LB-99772,Active,CV7MWL,CV7 Malt Wine Liq.,Merchants Row Boston MA,"(42.3594422, -71.0556378)"
203,LB-99407,Active,CV7AL,CV7 All Alc.,Pearl ST Boston MA,"(42.3541205, -71.0529446)"
204,LB-99797,Active,CV7MWL,CV7 Malt Wine Liq.,Bennington St East Boston MA,"(42.3846896, -71.0125438)"
205,LB-99448,Active,CV7AL,CV7 All Alc.,Lansdowne ST Boston MA,"(42.3471781, -71.0946909)"
206,LB-99397,Active,CV7AL,CV7 All Alc.,Commercial ST Boston MA,"(42.3635989, -71.0513736)"
207,LB-99570,Active,CV7MW,CV7 Malt Wine,Charles ST Boston MA,"(42.3003827, -71.0624746)"
208,LB-139871,Active,CV7MWL,CV7 Malt Wine Liq.,Bennington St East Boston MA,"(42.3846896, -71.0125438)"
209,LB-99485,Active,CV7ALR,CV7 All Alc. Restrict.,Birch ST Roslindale MA,"(42.2860658, -71.1309436)"
210,LB-99197,Active,CV7AL,CV7 All Alc.,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
211,LB-99225,Active,CV7AL,CV7 All Alc.,State St Boston MA,"(42.3588444, -71.0572152)"
212,LB-99406,Active,CV7AL,CV7 All Alc.,Chelsea ST Charlestown MA,"(42.4069649, -71.0552746)"
213,LB-99755,Active,CV7MWL,CV7 Malt Wine Liq.,Adams St Dorchester MA,"(42.2588941, -71.0430771)"
214,LB-99017,Active,CV7AL,CV7 All Alc.,Lansdowne St Boston MA,"(42.3471781, -71.0946909)"
215,LB-98900,Active,CV7AL,CV7 All Alc.,Avery St Boston MA,"(42.3532509, -71.062796)"
216,LB-99388,Active,CV7AL,CV7 All Alc.,A St Boston MA,"(42.3406301, -71.0571031)"
217,LB-99678,Active,CV7MW,CV7 Malt Wine,Centre St Jamaica Plain MA,"(42.3094665, -71.115559)"
218,LB-99787,Active,CV7MWL,CV7 Malt Wine Liq.,Bennington ST East Boston MA,"(42.3846896, -71.0125438)"
219,LB-143862,Active,CV7MWN,CV7MWN - Neighborhood Restricted,Blue Hill AV Dorchester MA,"(42.280265, -71.092886)"
220,LB-99478,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal B East Boston MA,"(42.3641511, -71.0194617)"
221,LB-99550,Active,CV7MW,CV7 Malt Wine,Faneuil Hall Marketplace Boston MA,"(42.3598941, -71.0558306)"
222,LB-99587,Active,CV7MW,CV7 Malt Wine,Gloucester ST Boston MA,"(42.3487691, -71.0839328)"
223,LB-99242,Active,CV7AL,CV7 All Alc.,Summer ST Boston MA,"(42.3536753, -71.0580245)"
224,LB-98876,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
225,LB-98877,Active,CV7ALA,CV7 All Alc. Airp.,Logan Airport Terminal C East Boston MA,"(42.3671318, -71.0178616)"
226,LB-99217,Active,CV7AL,CV7 All Alc.,Brookline AV Boston MA,"(42.3364702, -71.1097786)"
227,LB-133944,Active,CV7ALN,CV7ALN - Neighborhood Restricted,William T Morrissey BLVD Dorchester MA,"(42.3002439, -71.0493226)"
228,LB-99680,Active,CV7MW,CV7 Malt Wine,Boylston ST Boston MA,"(42.3500548, -71.0774775)"
229,LB-99428,Active,CV7AL,CV7 All Alc.,Washington St Roxbury MA,"(42.331863, -71.1159534)"
